time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/n_updates,train/learning_rate,train/loss,Time difference
202,0.6892645,1700,32709,161,8177.25,4,0,0,0,202
584,0.4485345,2250,58049,99,7256.125,8,2012,0.000941952,4.37E-05,382
849,0.3757265,1750,65713,77,5476.083333,12,3928,0.000934288,1.63E-05,265
1064,0.3166175,1537.5,71935,67,4495.9375,16,5483,0.000928068,6.234218597,215
1400,0.2215035,1470,81947,58,4097.35,20,7986,0.000918056,4.26E-05,336
1573,0.173386,1258.333333,87012,55,3625.5,24,9252,0.000912992,31.23435974,173
1832,0.1020315,1150,94523,51,3375.821429,28,11130,0.00090548,2.33E-05,259
2228,0.05,1100,105565,47,3298.90625,32,13891,0.000894436,4.16E-05,396
2419,0.05,1172.222222,110840,45,3078.888889,36,15209,0.000889164,1.62E-05,191
2826,0.05,1120,121968,43,3049.2,40,17991,0.000878036,6.75E-05,407
3023,0.05,1086.590909,127281,42,2892.75,44,19320,0.00087272,4.05E-06,197
3187,0.05,1004.375,131837,41,2746.604167,48,20459,0.000868164,6.11E-05,164
3330,0.05,950.1923077,135833,40,2612.173077,52,21458,0.000864168,2.24E-05,143
3454,0.05,900.1785714,139302,40,2487.535714,56,22325,0.0008607,6.28E-05,124
3680,0.05,890.1666667,145606,39,2426.766667,60,23901,0.000854396,2.16E-05,226
3926,0.05,887.65625,152503,38,2382.859375,64,25625,0.0008475,9.54E-06,246
4252,0.05,906.0294118,161508,37,2375.117647,68,27876,0.000838496,3.45E-05,326
4507,0.05,900.1388889,168425,37,2339.236111,72,29606,0.000831576,5.27E-05,255
4777,0.05,876.5789474,175821,36,2313.434211,76,31455,0.00082418,1.63E-05,270
5069,0.05,900.375,183738,36,2296.725,80,33434,0.000816264,1.37E-05,292
5458,0.05,905.2380952,194343,35,2313.607143,84,36085,0.00080566,1.60E-05,389
5642,0.05,1018.636364,199223,35,2263.897727,88,37305,0.00080078,1.26E-05,184
5852,0.05,1024.456522,204924,35,2227.434783,92,38730,0.00079508,1.57E-05,210
5998,0.05,994.2708333,208931,34,2176.364583,96,39732,0.000791072,2.80E-05,146
6160,0.05,964.5,213374,34,2133.74,100,40843,0.000786628,1.75E-05,162
6347,0.05,904.5,218534,34,1858.25,104,42133,0.000781468,1.32E-07,187
6535,0.05,798.5,223611,34,1655.62,108,43402,0.000776392,4.18E-05,188
6769,0.05,804.6,229839,33,1641.26,112,44959,0.000770164,9.83E-06,234
7158,0.05,786.6,240198,33,1682.63,116,47549,0.000759804,4.88E-05,389
7301,0.05,740.6,243878,33,1619.31,120,48469,0.000756124,3.65E-05,143
7505,0.05,738.6,249287,33,1622.75,124,49821,0.000750716,4.85E-06,204
7753,0.05,898.8,255823,32,1613,128,51455,0.00074418,1.73E-05,248
7940,0.05,894.8,260753,32,1551.88,132,52688,0.000739248,3.47E-05,187
