time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss,Time difference
205,4,0.6439305,37481,5500,9370.25,182,0,0,0,205
715,8,0.465207,56294,4076.25,7036.75,78,1573,0.000943708,4.98115921,510
1191,12,0.414572,61624,3084.166667,5135.333333,51,2905,0.00093838,7.24E-05,476
1745,16,0.3557005,67821,2813.125,4238.8125,38,4455,0.00093218,0.000467422,554
2209,20,0.3067185,72977,2390.5,3648.85,33,5744,0.000927024,0.005651238,464
3050,24,0.2180835,82307,2083.75,3429.458333,26,8076,0.000917696,0.003521863,841
3753,28,0.1436795,90139,1943.214286,3219.25,24,10034,0.000909864,0.011342999,703
4823,32,0.05,101881,2214.0625,3183.78125,21,12970,0.00089812,0.018648334,1070
5585,36,0.05,110334,2168.055556,3064.833333,19,15083,0.000889668,0.005262761,762
6086,40,0.05,115900,1971.25,2897.5,19,16474,0.000884104,0.01352477,501
6731,44,0.05,123042,1851.136364,2796.409091,18,18260,0.00087696,0.000165277,645
7148,48,0.05,127666,1717.708333,2659.708333,17,19416,0.000872336,0.033092387,417
7742,52,0.05,134233,1600.961538,2581.403846,17,21058,0.000865768,0.001290719,594
8351,56,0.05,140932,1536.607143,2516.642857,16,22732,0.000859072,0.006662271,609
9598,60,0.05,154596,1490.833333,2576.6,16,26148,0.000845408,0.002113564,1247
10800,64,0.05,167346,1469.53125,2614.78125,15,29336,0.000832656,0.005363959,1202
11359,68,0.05,173024,1400.735294,2544.470588,15,30755,0.00082698,0.000569545,559
12028,72,0.05,180136,1378.888889,2501.888889,14,32533,0.000819868,0.031385519,669
12854,76,0.05,189193,1332.631579,2489.381579,14,34798,0.000810808,0.004459024,826
13255,80,0.05,193599,1276,2419.9875,14,35899,0.000806404,0.001687633,401
13884,84,0.05,200561,1229.52381,2387.630952,14,37640,0.00079944,0.036795709,629
14400,88,0.05,206259,1180.568182,2343.852273,14,39064,0.000793744,0.001987401,516
14822,92,0.05,210877,1135.76087,2292.141304,14,40219,0.000789124,0.000983533,422
15431,96,0.05,217441,1113.4375,2265.010417,14,41860,0.00078256,0.001216789,609
16131,100,0.05,224907,1279.1,2249.07,13,43726,0.000775096,124.9881058,700
16862,104,0.05,232741,1151.1,1952.6,13,45685,0.00076726,0.000332338,731
17536,108,0.05,240030,1061,1837.36,13,47507,0.000759972,0.002372646,674
18089,112,0.05,245974,1029,1843.5,13,48993,0.000754028,0.004663493,553
18670,116,0.05,252136,959,1843.15,13,50533,0.000747868,0.002609642,581
19340,120,0.05,259176,949,1861.99,13,52293,0.000740828,0.000214855,670
20214,124,0.05,268192,979,1858.85,13,54547,0.000731812,0.00420896,874
20720,128,0.05,273364,953,1832.25,13,55840,0.00072664,0.0009395,506
21285,132,0.05,278955,804.6,1770.74,13,57238,0.000721048,0.006352832,565
22520,136,0.05,291226,934.6,1808.92,12,60306,0.000708776,0.002037798,1235
23797,140,0.05,303760,1034.9,1878.6,12,63439,0.000696244,0.004387315,1277
24231,144,0.05,307943,1014.9,1849.01,12,64485,0.00069206,0.003389728,434
24921,148,0.05,314515,1044.9,1868.49,12,66128,0.000685488,0.004344725,690
26371,152,0.05,327730,1051,1934.97,12,69432,0.000672272,0.000434685,1450
27176,156,0.05,334594,1105,1936.62,12,71148,0.000665408,0.001532046,805
28815,160,0.05,348081,1121.1,1934.85,12,74520,0.00065192,0.009779307,1639
29794,164,0.05,356030,1101.1,1886.84,11,76507,0.000643972,0.001499468,979
30320,168,0.05,360260,1103.1,1872.36,11,77564,0.000639744,0.005061839,526
31576,172,0.05,370437,1078.8,1903.01,11,80109,0.000629564,0.009562914,1256
32617,176,0.05,378879,1064.8,1896.86,11,82219,0.000621124,0.005239999,1041
33479,180,0.05,385847,1104.8,1922.48,11,83961,0.000614156,0.003218093,862
34228,184,0.05,391909,1108.8,1913.48,11,85477,0.000608092,4.36E-05,749
