train/approx_kl,train/learning_rate,time/time_elapsed,train/loss,train/clip_fraction,train/value_loss,time/total_timesteps,train/explained_variance,time/fps,time/iterations,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0.1116547,0.000993856,155,0.239658177,0.544921875,0.563034065,8192,-12.29652214,52,4,0.02731457,0.2,30,-2.262074249,300,7251.5
0.101931214,0.000985664,358,0.105303712,0.423828125,0.337144781,16384,0.770972967,45,8,-0.027726925,0.2,70,-2.336732898,300,7251.5
0.19886237,0.000977472,584,-0.005049326,0.595263672,0.333537507,24576,0.871054575,42,12,-0.046961049,0.2,110,-1.868867866,300,7251.5
0.1591376,0.00096928,826,102.8746109,0.555761719,61.35949589,32768,0.67610389,39,16,0.022802315,0.2,150,-1.402587803,250,7131
0.015709072,0.000961088,1064,8.297149658,0.178125,12.9600504,40960,0.729088366,38,20,0.002382136,0.2,190,-1.284143908,200,5313
0.0848892,0.000952896,1301,-0.034365367,0.378027344,0.021755738,49152,0.814787999,37,24,-0.037264588,0.2,230,-1.477099654,280,4876.2
0.079806715,0.000944704,1537,105.8699646,0.211572266,727.5969392,57344,-0.142229795,37,28,-0.002609384,0.2,270,-0.394253794,647.6190476,2725
1.0948962,0.000936512,1783,1612.703125,0.512402344,6639.30872,65536,0.133082807,36,32,0.041993982,0.2,310,-0.459946307,696.2962963,2404.444444
0.42167446,0.00092832,2053,328.4445496,0.245849609,803.7048855,73728,0.488773942,35,36,0.002055215,0.2,350,-0.232188515,794.1176471,2105.529412
0.02496149,0.000920128,2345,33.19345856,0.106005859,87.44268911,81920,0.68352747,34,40,-0.033148774,0.2,390,-0.11185896,726.3157895,2139.921053
0.06259948,0.000911936,2634,60.36606598,0.193701172,55.64824559,90112,0.157547355,34,44,0.00530294,0.2,430,-0.443535244,697.5609756,2180.780488
0.04677935,0.000903744,2893,5.380084991,0.336279297,27.87007073,98304,0.87510661,33,48,0.028147473,0.2,470,-0.361470309,754.5454545,2184.136364
0.005124527,0.000895552,3148,0.1700809,0.016357422,0.476623497,106496,-0.123695374,33,52,-0.002951824,0.2,510,-0.089373871,742.2222222,2335.044444
0.14566673,0.00088736,3418,16.08300209,0.158203125,27.00601167,114688,0.46247977,33,56,-0.033117772,0.2,550,-0.177706934,642.3076923,2192.346154
0.08246565,0.000879168,3681,129.0704193,0.368603516,106.1088693,122880,0.069814563,33,60,0.048027429,0.2,590,-0.464733188,618.5185185,2161.296296
0.051917978,0.000870976,3933,208.7235413,0.388574219,124.4667573,131072,0.069597125,33,64,0.02124702,0.2,630,-1.061932419,614.5454545,2251.4
0.017814156,0.000862784,4187,0.303350031,0.089697266,1.328339974,139264,0.387510002,33,68,0.014321952,0.2,670,-0.309716371,614.2857143,2390.732143
0.01832894,0.000854592,4440,0.848070979,0.268359375,54.88426917,147456,0.476382852,33,72,0.053748024,0.2,710,-0.775357151,617.5438596,2579.421053
0.025464602,0.0008464,4688,-0.017917089,0.184277344,0.033846353,155648,0.673940986,33,76,-0.035267466,0.2,750,-0.404337365,617.5438596,2579.421053
0.137997,0.000838208,4935,4.222088814,0.245703125,21.43861212,163840,0.914960936,33,80,0.036913466,0.2,790,-0.951210179,583.6065574,2615.95082
0.01737072,0.000830016,5186,7.572082043,0.063867188,52.58007859,172032,0.739465922,33,84,0.006019603,0.2,830,-0.262045716,565.625,2676.71875
0.023863092,0.000821824,5436,2.005465269,0.155615234,88.62044467,180224,0.476941347,33,88,0.006149036,0.2,870,-0.690403478,517.1428571,2518.842857
0.023283476,0.000813632,5689,0.596844614,0.090087891,3.661975911,188416,0.612629116,33,92,-0.025292806,0.2,910,-0.192632604,517.1428571,2518.842857
0.06453474,0.00080544,5942,17.20408249,0.326025391,52.39631361,196608,0.173119605,33,96,0.028261089,0.2,950,-1.029632028,518.3098592,2669.126761
0.038527574,0.000797248,6191,-0.013182163,0.168652344,0.045542209,204800,0.522233039,33,100,-0.02137161,0.2,990,-0.657811213,519.4444444,2773.708333
0.15242979,0.000789056,6443,0.359411746,0.352441406,52.4735687,212992,0.058818638,33,104,0.063285129,0.2,1030,-2.16962827,519.4444444,2773.708333
0.19755934,0.000780864,6691,25.59360695,0.543847656,61.43490847,221184,-1.176795959,33,108,0.019008486,0.2,1070,-1.99469169,510.8108108,2926.810811
0.032167114,0.000772672,6934,0.148529798,0.242285156,1.234466695,229376,0.772522807,33,112,-0.032286671,0.2,1110,-1.309027761,506.6666667,2972.173333
0.1494885,0.00076448,7184,5.308457375,0.295361328,22.92404268,237568,0.603805095,33,116,0.046385807,0.2,1150,-0.829290796,534.2105263,3082.355263
0.012034423,0.000756288,7436,0.012038914,0.044921875,0.615535004,245760,0.549737215,33,120,-0.006583157,0.2,1190,-0.142436242,532.4675325,3133.272727
0.061026312,0.000748096,7680,7.395967007,0.342382813,18.83704663,253952,0.437199891,33,124,-0.001262767,0.2,1230,-1.488066367,532.5,3107.7375
0.058646515,0.000739904,7934,9.566890717,0.256835938,31.92563932,262144,-0.197797656,33,128,-0.003010982,0.2,1270,-0.749692849,532.5,3107.7375
0.37248155,0.000731712,8187,0.001818558,0.281835938,0.170783902,270336,-0.734448433,33,132,-0.013633952,0.2,1310,-0.568890693,763.5365854,3227.682927
0.064674325,0.00072352,8430,3876.049805,0.203173828,6739.600525,278528,0.364966333,33,136,0.018759472,0.2,1350,-0.441521473,788.8764045,3128.269663
0.012800314,0.000715328,8681,203.8110657,0.061035156,3004.462818,286720,0.230490446,33,140,0.005269465,0.2,1390,-0.336322461,748.556701,2947.42268
0.22567983,0.000707136,8934,137.7048035,0.250732422,2717.223518,294912,0.137997329,33,144,0.050431045,0.2,1430,-0.508216324,758.1,2921.37
0.24389124,0.000698944,9182,140.1444244,0.305273438,2062.346981,303104,0.293736815,33,148,0.030241762,0.2,1470,-0.746844411,764.1,2918.15
0.0361405,0.000690752,9448,0.438973069,0.021142578,5.750572267,311296,0.636584401,32,152,0.006160023,0.2,1510,-0.034185612,766.1,2738.72
0.28822923,0.00068256,9707,0.586133122,0.144677734,19.42377378,319488,0.820786029,32,156,0.034811183,0.2,1550,-0.137611903,754.1,2677.4
0.009360425,0.000674368,9967,13.04336834,0.028515625,28.48487121,327680,0.318471014,32,160,-0.000129154,0.2,1590,-0.255975229,676.1,2717.54
0.14465559,0.000666176,10226,5.260806561,0.141601563,12.466371,335872,0.400557637,32,164,-0.020876216,0.2,1630,-0.433402395,648.1,2751.57
0.06188918,0.000657984,10488,26.37893295,0.2125,22.63331597,344064,0.514961898,32,168,0.018044852,0.2,1670,-0.339866507,648.1,2783.6
0.29640096,0.000649792,10745,67.13742065,0.340332031,242.3092426,352256,0.206534088,32,172,0.041138895,0.2,1710,-0.737934177,626.1,2866.34
0.11945605,0.0006416,10995,120.8563919,0.355957031,387.4842965,360448,-0.055258632,32,176,0.026240765,0.2,1750,-0.684413022,638.1,2911.19
0.009158859,0.000633408,11266,0.87185657,0.093554688,5.203515247,368640,0.90135619,32,180,0.008070016,0.2,1790,-0.181091049,646.1,2987.15
0.014008958,0.000625216,11531,5.759144306,0.184277344,46.96274419,376832,0.546567738,32,184,0.006165592,0.2,1830,-0.542855791,646.1,2987.15
0.044177704,0.000617024,11796,-0.006168216,0.378466797,0.271616315,385024,0.770536408,32,188,-0.012705026,0.2,1870,-0.778930546,634.1,3131.71
0.026477356,0.000608832,12061,25.92191887,0.259375,84.77210009,393216,0.826534882,32,192,0.019825187,0.2,1910,-0.942758919,610.1,3221.74
0.0636671,0.00060064,12325,0.761818588,0.222070313,4.014741116,401408,0.66911301,32,196,-0.009799585,0.2,1950,-0.854149245,612.1,3314.46
0.23221411,0.000592448,12585,264.6536255,0.390234375,1170.974885,409600,-0.495387197,32,200,0.039091062,0.2,1990,-0.700600228,694.1,3216.7
0.84158874,0.000584256,12854,4269.658691,0.363769531,3171.748703,417792,-0.107516766,32,204,0.089260411,0.2,2030,-0.525294265,710.1,3105.35
0,0.000576064,13126,3.369273901,0,13.17184597,425984,-4.464040756,32,208,5.45E-08,0.2,2070,-2.36E-05,720.1,3175.98
0.012443636,0.000567872,13400,2.598538637,0.026513672,56.97231189,434176,0.194472134,32,212,-0.006879369,0.2,2110,-0.068553461,732.1,3223.52
0.08660754,0.00055968,13663,1096.27124,0.194091797,3452.196166,442368,0.302756488,32,216,0.025986813,0.2,2150,-0.246370467,814.1,3182.47
0.052703336,0.000551488,13936,207.9220276,0.066308594,3115.565654,450560,-0.073850989,32,220,0.007491858,0.2,2190,-0.099449358,818.1,2899.22
0.15728219,0.000543296,14197,1.099228024,0.05546875,8.556200542,458752,0.730546981,32,224,-0.0011182,0.2,2230,-0.124114731,884.1,2867.64
1.35E-07,0.000535104,14453,69.49137115,0,546.2709617,466944,0.884341218,32,228,0.00054442,0.2,2270,-0.004640393,976.1,2933.59
0.24638237,0.000526912,14713,282.4312439,0.072216797,2058.516082,475136,0.507507086,32,232,0.006279459,0.2,2310,-0.157155109,978.1,2937.14
0.000755466,0.00051872,14986,38.17036819,0.003173828,247.2573796,483328,0.907399297,32,236,0.001017911,0.2,2350,-0.013732925,1028.2,3063.48
0.001122208,0.000510528,15257,0.748911202,0.002148438,5.609423084,491520,0.234660625,32,240,0.002513038,0.2,2390,-0.03656393,1054.3,3149.63
0,0.000502336,15530,2.502341747,0,25.35085109,499712,-0.282663584,32,244,1.05E-07,0.2,2430,-0.000473355,1054.3,3149.63
0.087621175,0.000494144,15834,6.699403763,0.307617188,51.4508441,507904,0.075989902,32,248,-0.042791981,0.2,2470,-0.272805712,1056.3,3274.95
0.020520877,0.000485952,16115,0.424348235,0.113037109,1.588550606,516096,-0.808558226,32,252,0.009794628,0.2,2510,-0.296833408,1056.3,3274.95
0.007315127,0.00047776,16394,0.027020304,0.051513672,0.324115717,524288,-0.938302755,31,256,-0.004467531,0.2,2550,-0.244196384,1056.3,3274.95
0.005704694,0.000469568,16667,1.555312037,0.033642578,15.20486677,532480,0.875748031,31,260,-0.005284054,0.2,2590,-0.164610811,1068.3,3427.55
0.02191194,0.000461376,16953,1.529165626,0.048046875,4.841714948,540672,-0.178381801,31,264,0.010592575,0.2,2630,-0.105835793,1068.3,3427.55
1.8862159,0.000453184,17225,1671.686768,0.44140625,4946.30195,548864,0.001963377,31,268,0.123743766,0.2,2670,-0.172016017,1068.3,3427.55
0.012757724,0.000444992,17500,0.037442196,0.105957031,0.4019027,557056,0.046066344,31,272,0.010847668,0.2,2710,-0.377828181,1082.3,3500.35
